"","t1","Argentina","Australia","Belgium","Bolivia","Brazil","Canada","France","Germany","India","Indonesia","Japan","Korea","Malaysia","Netherlands","Paraguay","Philippines","Portugal","Russian_Federation","Singapore","South_Africa","Spain","Sri_Lanka","Thailand","Ukraine","United_Kingdom","United_States","Uruguay"
"1",1986,0.0475293474627346,NA,NA,NA,NA,0.00996264313826922,NA,NA,NA,NA,6.58808142868228e-05,NA,NA,NA,NA,NA,0.00146645812542245,NA,9.76012063513831e-06,NA,NA,5.61206936517955e-05,NA,NA,NA,0.922726684901825,0.0181831047431746
"2",1987,NA,NA,NA,NA,0.0026178944738704,0.00769833122348251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000434566283954441,NA,NA,4.61857886328021e-05,NA,NA,NA,0.978017663964798,0.0111853582652618
"3",1988,NA,NA,NA,NA,NA,0.0093061388872907,NA,NA,NA,NA,3.69862000377807e-05,NA,NA,NA,NA,NA,NA,NA,1.64383111279642e-05,NA,NA,NA,NA,NA,NA,0.978971290489615,0.0116691461119285
"4",1989,NA,NA,NA,NA,0.00675259280703022,0.01082739548175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38622462295424e-06,NA,NA,NA,NA,NA,NA,0.981099758099712,0.00131586738688472
"5",1990,NA,NA,NA,NA,NA,0.0141478946301442,NA,NA,NA,NA,0.00063441334653036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0032245370094327,NA,NA,NA,0.981988384988731,NA
"6",1991,0.0254408055258213,NA,NA,NA,NA,0.0100360729378717,NA,NA,NA,NA,5.36247218217989e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000307310905824698,NA,NA,0.964162185908661,NA
"7",1992,0.0641111007236658,NA,NA,NA,NA,0.0112337041651324,NA,NA,NA,4.76974531468111e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15132493985604e-05,0.000505593003355953,NA,NA,0.924050391405301,NA
"8",1993,NA,NA,NA,NA,NA,0.0124843689490987,NA,NA,NA,NA,1.19418669914939e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000182539966869899,NA,1.87657909865857e-05,0.987295559502058,NA
"9",1994,0.199773826507533,NA,NA,NA,0.00256793903754482,0.0131911339990953,NA,NA,NA,NA,6.95918438353704e-06,NA,3.47959219182403e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.47959219182403e-06,NA,6.95918438353704e-06,0.78444448310658,NA
"10",1995,0.0321108573436402,1.90325603185437e-05,NA,NA,NA,0.0137898219723589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954080288123682,NA
