"","name","group_assignment"
"Argentina","Argentina","1"
"Australia","Australia","5"
"Austria","Austria","3"
"Belarus","Belarus","3"
"Belgium","Belgium","3"
"Belize","Belize","5"
"Benin","Benin","2"
"Bolivia","Bolivia","3"
"Bosnia and Herzegovina","Bosnia and Herzegovina","3"
"Brazil","Brazil","1"
"Bulgaria","Bulgaria","3"
"Burkina Faso","Burkina Faso","2"
"Cambodia","Cambodia","1"
"Canada","Canada","5"
"Chile","Chile","5"
"China","China","1"
"Colombia","Colombia","3"
"Costa Rica","Costa Rica","3"
"Cote d'Ivoire","Cote d'Ivoire","5"
"Croatia","Croatia","3"
"Czech Republic","Czech Republic","3"
"Denmark","Denmark","3"
"Ecuador","Ecuador","3"
"Egypt","Egypt","5"
"Estonia","Estonia","3"
"Ethiopia","Ethiopia","5"
"France","France","3"
"Georgia","Georgia","3"
"Germany","Germany","3"
"Ghana","Ghana","3"
"Greece","Greece","3"
"Guatemala","Guatemala","5"
"Hungary","Hungary","3"
"India","India","5"
"Indonesia","Indonesia","5"
"Ireland","Ireland","3"
"Israel","Israel","3"
"Italy","Italy","3"
"Japan","Japan","5"
"Kazakhstan","Kazakhstan","3"
"Kenya","Kenya","6"
"Korea","Korea","5"
"Kuwait","Kuwait","5"
"Latvia","Latvia","3"
"Lebanon","Lebanon","3"
"Lithuania","Lithuania","3"
"Malawi","Malawi","6"
"Malaysia","Malaysia","5"
"Mexico","Mexico","5"
"Moldova, Republic of","Moldova, Republic of","3"
"Nepal","Nepal","5"
"Netherlands","Netherlands","3"
"New Zealand","New Zealand","5"
"Nicaragua","Nicaragua","5"
"Paraguay","Paraguay","3"
"Peru","Peru","3"
"Philippines","Philippines","5"
"Poland","Poland","3"
"Portugal","Portugal","3"
"Romania","Romania","3"
"Russian Federation","Russian Federation","3"
"Serbia","Serbia","3"
"Singapore","Singapore","5"
"Slovakia","Slovakia","3"
"Slovenia","Slovenia","3"
"South Africa","South Africa","5"
"Spain","Spain","3"
"Sri Lanka","Sri Lanka","5"
"Sweden","Sweden","3"
"Switzerland","Switzerland","5"
"Tanzania, United Republic of","Tanzania, United Republic of","6"
"Thailand","Thailand","1"
"Togo","Togo","2"
"Turkey","Turkey","3"
"Uganda","Uganda","6"
"Ukraine","Ukraine","3"
"United Kingdom","United Kingdom","1"
"United States","United States","5"
"Uruguay","Uruguay","4"
"Zambia","Zambia","6"
"Zimbabwe","Zimbabwe","6"
"Bangladesh","Bangladesh","3"
"Cuba","Cuba","5"
"Iran, Islamic Republic of","Iran, Islamic Republic of","1"
"Syrian Arab Republic","Syrian Arab Republic","3"
"Tunisia","Tunisia","4"
"United Arab Emirates","United Arab Emirates","3"
"Venezuela (Bolivarian Republic of)","Venezuela (Bolivarian Republic of)","5"
"Viet Nam","Viet Nam","5"
"Fiji","Fiji","5"
"Papua New Guinea","Papua New Guinea","5"
"Finland","Finland","1"
"Jordan","Jordan","5"
"Luxembourg","Luxembourg","3"
"Malta","Malta","3"
"Norway","Norway","1"
"Gabon","Gabon","3"
"Jamaica","Jamaica","5"
"Algeria","Algeria","5"
"Angola","Angola","6"
"Cameroon","Cameroon","1"
"Congo, the Democratic Republic of the","Congo, the Democratic Republic of the","6"
"Equatorial Guinea","Equatorial Guinea","1"
"Guyana","Guyana","1"
"Mozambique","Mozambique","6"
"Nigeria","Nigeria","5"
"Saudi Arabia","Saudi Arabia","1"
"Turks and Caicos Islands","Turks and Caicos Islands","1"
"Mali","Mali","2"
"Brunei Darussalam","Brunei Darussalam","5"
"Mauritius","Mauritius","5"
"Morocco","Morocco","5"
"Panama","Panama","5"
"Suriname","Suriname","5"
"Trinidad and Tobago","Trinidad and Tobago","5"
"Chad","Chad","1"
"Cyprus","Cyprus","3"
"Democratic People's Republic of Korea","Democratic People's Republic of Korea","1"
"Guam","Guam","1"
"Liberia","Liberia","5"
"Namibia","Namibia","5"
"Pakistan","Pakistan","5"
"Qatar","Qatar","3"
"Swaziland","Swaziland","5"
"Timor-Leste","Timor-Leste","5"
"Tonga","Tonga","1"
"Unspecified","Unspecified","4"
"Greenland","Greenland","3"
"Armenia","Armenia","3"
"Libya","Libya","3"
"Niger","Niger","3"
"Senegal","Senegal","3"
"Uzbekistan","Uzbekistan","3"
"Bahrain","Bahrain","5"
"El Salvador","El Salvador","5"
"Iraq","Iraq","3"
"Oman","Oman","6"
"Seychelles","Seychelles","5"
"Yemen","Yemen","5"
"Kyrgyzstan","Kyrgyzstan","3"
"Tajikistan","Tajikistan","3"
"Botswana","Botswana","6"
"New Caledonia","New Caledonia","5"
"Samoa","Samoa","5"
"Solomon Islands","Solomon Islands","5"
"Cabo Verde","Cabo Verde","3"
"Sao Tome and Principe","Sao Tome and Principe","3"
"Macedonia, the former Yugoslav Republic of","Macedonia, the former Yugoslav Republic of","3"
"Montenegro","Montenegro","3"
"Maldives","Maldives","1"
"Congo","Congo","5"
"Lesotho","Lesotho","5"
"Myanmar","Myanmar","3"
"Iceland","Iceland","3"
"Burundi","Burundi","6"
"Rwanda","Rwanda","6"
"Lao People's Democratic Republic","Lao People's Democratic Republic","1"
"Azerbaijan","Azerbaijan","3"
"Turkmenistan","Turkmenistan","3"
"Bahamas","Bahamas","5"
"Barbados","Barbados","5"
"Honduras","Honduras","5"
"Saint Lucia","Saint Lucia","5"
