id,country,p.type,p.freq,p.year,p.area,loss_pa,subregion,climadomain,GDPpcPPP,income00
46,Algeria,1,99.77000164,1,2178.36,590.5656,N Africa,Tropical,7835.4826,LM
47,Algeria,2,0.229998357,1,228.87,590.5656,N Africa,Tropical,7835.4826,LM
48,Algeria,1,99.80324643,2,2126.61,590.5656,N Africa,Tropical,7835.4826,LM
49,Algeria,2,0.196753566,2,199.26,590.5656,N Africa,Tropical,7835.4826,LM
50,Algeria,1,99.71652268,3,2667.15,590.5656,N Africa,Tropical,7835.4826,LM
51,Algeria,2,0.283477322,3,388.71,590.5656,N Africa,Tropical,7835.4826,LM
52,Algeria,1,99.83405244,4,2940.75,590.5656,N Africa,Tropical,7835.4826,LM
53,Algeria,2,0.165947561,4,360.36,590.5656,N Africa,Tropical,7835.4826,LM
54,Algeria,1,99.82793849,5,3108.69,590.5656,N Africa,Tropical,7835.4826,LM
55,Algeria,2,0.172061512,5,276.93,590.5656,N Africa,Tropical,7835.4826,LM
56,Algeria,1,99.90431454,6,3948.39,590.5656,N Africa,Tropical,7835.4826,LM
57,Algeria,2,0.095685456,6,222.39,590.5656,N Africa,Tropical,7835.4826,LM
58,Algeria,1,99.83336601,7,3848.85,590.5656,N Africa,Tropical,7835.4826,LM
59,Algeria,2,0.166633993,7,293.85,590.5656,N Africa,Tropical,7835.4826,LM
60,Algeria,1,99.69758773,8,5590.08,590.5656,N Africa,Tropical,7835.4826,LM
61,Algeria,2,0.302412265,8,733.32,590.5656,N Africa,Tropical,7835.4826,LM
62,Algeria,1,99.72541442,9,7217.19,590.5656,N Africa,Tropical,7835.4826,LM
63,Algeria,2,0.264415743,9,991.53,590.5656,N Africa,Tropical,7835.4826,LM
64,Algeria,3,0.010169836,9,270.27,590.5656,N Africa,Tropical,7835.4826,LM
65,Algeria,1,99.63825458,10,1864.44,590.5656,N Africa,Tropical,7835.4826,LM
66,Algeria,2,0.361745422,10,242.64,590.5656,N Africa,Tropical,7835.4826,LM
67,Algeria,1,99.64328181,11,5962.59,590.5656,N Africa,Tropical,7835.4826,LM
68,Algeria,2,0.356718193,11,1112.49,590.5656,N Africa,Tropical,7835.4826,LM
69,Algeria,1,99.56409627,12,6494.76,590.5656,N Africa,Tropical,7835.4826,LM
70,Algeria,2,0.417485265,12,1441.8,590.5656,N Africa,Tropical,7835.4826,LM
71,Algeria,3,0.018418468,12,568.71,590.5656,N Africa,Tropical,7835.4826,LM
72,Algeria,1,99.35205184,13,2679.21,590.5656,N Africa,Tropical,7835.4826,LM
73,Algeria,2,0.647948164,13,1098.36,590.5656,N Africa,Tropical,7835.4826,LM
87,Angola,1,99.88945435,1,71847.63,9517.5063,ES Africa,Tropical,2684.7746,L
88,Angola,2,0.109741685,1,5215.23,9517.5063,ES Africa,Tropical,2684.7746,L
89,Angola,3,0.000803968,1,229.68,9517.5063,ES Africa,Tropical,2684.7746,L
90,Angola,1,99.88524231,2,40404.06,9517.5063,ES Africa,Tropical,2684.7746,L
91,Angola,2,0.114026752,2,2602.71,9517.5063,ES Africa,Tropical,2684.7746,L
92,Angola,3,0.000730941,2,313.47,9517.5063,ES Africa,Tropical,2684.7746,L
93,Angola,1,99.9385428,3,34627.5,9517.5063,ES Africa,Tropical,2684.7746,L
94,Angola,2,0.0614572,3,1306.71,9517.5063,ES Africa,Tropical,2684.7746,L
95,Angola,1,99.75635939,4,38524.41,9517.5063,ES Africa,Tropical,2684.7746,L
96,Angola,2,0.239906651,4,4562.55,9517.5063,ES Africa,Tropical,2684.7746,L
97,Angola,3,0.003733956,4,569.97,9517.5063,ES Africa,Tropical,2684.7746,L
98,Angola,1,99.85035963,5,49973.85,9517.5063,ES Africa,Tropical,2684.7746,L
99,Angola,2,0.149640369,5,3469.77,9517.5063,ES Africa,Tropical,2684.7746,L
100,Angola,1,99.68487699,6,42213.24,9517.5063,ES Africa,Tropical,2684.7746,L
101,Angola,2,0.314159335,6,6221.52,9517.5063,ES Africa,Tropical,2684.7746,L
102,Angola,3,0.000963679,6,288.99,9517.5063,ES Africa,Tropical,2684.7746,L
103,Angola,1,99.79569299,7,82611.54,9517.5063,ES Africa,Tropical,2684.7746,L
104,Angola,2,0.204307013,7,6982.56,9517.5063,ES Africa,Tropical,2684.7746,L
105,Angola,1,99.81319955,8,52073.82,9517.5063,ES Africa,Tropical,2684.7746,L
106,Angola,2,0.186038001,8,4271.13,9517.5063,ES Africa,Tropical,2684.7746,L
107,Angola,3,0.000762451,8,120.6,9517.5063,ES Africa,Tropical,2684.7746,L
108,Angola,1,99.76526625,9,84759.48,9517.5063,ES Africa,Tropical,2684.7746,L
109,Angola,2,0.233266662,9,8417.43,9517.5063,ES Africa,Tropical,2684.7746,L
110,Angola,3,0.001467086,9,413.64,9517.5063,ES Africa,Tropical,2684.7746,L
111,Angola,1,99.63687489,10,97280.91,9517.5063,ES Africa,Tropical,2684.7746,L
112,Angola,2,0.362677365,10,15458.76,9517.5063,ES Africa,Tropical,2684.7746,L
113,Angola,3,0.00044775,10,206.82,9517.5063,ES Africa,Tropical,2684.7746,L
114,Angola,1,99.66224247,11,89001.27,9517.5063,ES Africa,Tropical,2684.7746,L
115,Angola,2,0.336271791,11,12079.44,9517.5063,ES Africa,Tropical,2684.7746,L
116,Angola,3,0.001485737,11,486.54,9517.5063,ES Africa,Tropical,2684.7746,L
117,Angola,1,99.72931486,12,92991.6,9517.5063,ES Africa,Tropical,2684.7746,L
118,Angola,2,0.265928697,12,12218.85,9517.5063,ES Africa,Tropical,2684.7746,L
119,Angola,3,0.004756448,12,3779.91,9517.5063,ES Africa,Tropical,2684.7746,L
120,Angola,1,99.84174058,13,76725.99,9517.5063,ES Africa,Tropical,2684.7746,L
121,Angola,2,0.153724765,13,6294.33,9517.5063,ES Africa,Tropical,2684.7746,L
122,Angola,3,0.004081188,13,2075.76,9517.5063,ES Africa,Tropical,2684.7746,L
123,Angola,4,0.000453465,13,1128.96,9517.5063,ES Africa,Tropical,2684.7746,L
124,Anguilla,1,100,1,1.08,0.1593,Caribbean,Tropical,0,
125,Anguilla,1,100,2,0.18,0.1593,Caribbean,Tropical,0,
126,Anguilla,1,100,3,0.18,0.1593,Caribbean,Tropical,0,
127,Anguilla,1,100,4,4.41,0.1593,Caribbean,Tropical,0,
128,Anguilla,1,100,5,1.53,0.1593,Caribbean,Tropical,0,
129,Anguilla,1,100,6,0.36,0.1593,Caribbean,Tropical,0,
130,Anguilla,1,100,7,1.89,0.1593,Caribbean,Tropical,0,
131,Anguilla,1,100,8,5.04,0.1593,Caribbean,Tropical,0,
132,Anguilla,1,100,9,0.63,0.1593,Caribbean,Tropical,0,
133,Anguilla,1,100,10,0.09,0.1593,Caribbean,Tropical,0,
134,Anguilla,1,100,11,0.18,0.1593,Caribbean,Tropical,0,
135,Anguilla,1,100,13,0.36,0.1593,Caribbean,Tropical,0,
136,Anguilla,1,0,12,0,0.1593,Caribbean,Tropical,0,
137,Antigua and Barbuda,1,100,1,23.4,3.8916,Caribbean,Tropical,15312.49,UM
138,Antigua and Barbuda,1,100,2,15.3,3.8916,Caribbean,Tropical,15312.49,UM
139,Antigua and Barbuda,1,100,3,15.3,3.8916,Caribbean,Tropical,15312.49,UM
140,Antigua and Barbuda,1,100,4,22.14,3.8916,Caribbean,Tropical,15312.49,UM
141,Antigua and Barbuda,1,98.82352941,5,24.66,3.8916,Caribbean,Tropical,15312.49,UM
142,Antigua and Barbuda,2,1.176470588,5,30.06,3.8916,Caribbean,Tropical,15312.49,UM
143,Antigua and Barbuda,1,100,6,53.37,3.8916,Caribbean,Tropical,15312.49,UM
144,Antigua and Barbuda,1,100,7,35.1,3.8916,Caribbean,Tropical,15312.49,UM
145,Antigua and Barbuda,1,100,8,32.67,3.8916,Caribbean,Tropical,15312.49,UM
146,Antigua and Barbuda,1,100,9,57.51,3.8916,Caribbean,Tropical,15312.49,UM
147,Antigua and Barbuda,1,100,10,18.18,3.8916,Caribbean,Tropical,15312.49,UM
148,Antigua and Barbuda,1,100,11,22.95,3.8916,Caribbean,Tropical,15312.49,UM
149,Antigua and Barbuda,1,100,12,29.25,3.8916,Caribbean,Tropical,15312.49,UM
150,Antigua and Barbuda,1,100,13,9.27,3.8916,Caribbean,Tropical,15312.49,UM
218,Aruba,1,100,6,0.09,0.0018,Caribbean,Tropical,0,H
219,Aruba,1,100,9,0.09,0.0018,Caribbean,Tropical,0,H
220,Aruba,1,0,1,0,0.0018,Caribbean,Tropical,0,H
221,Aruba,1,0,2,0,0.0018,Caribbean,Tropical,0,H
222,Aruba,1,0,3,0,0.0018,Caribbean,Tropical,0,H
223,Aruba,1,0,4,0,0.0018,Caribbean,Tropical,0,H
224,Aruba,1,0,5,0,0.0018,Caribbean,Tropical,0,H
225,Aruba,1,0,7,0,0.0018,Caribbean,Tropical,0,H
226,Aruba,1,0,8,0,0.0018,Caribbean,Tropical,0,H
227,Aruba,1,0,10,0,0.0018,Caribbean,Tropical,0,H
228,Aruba,1,0,11,0,0.0018,Caribbean,Tropical,0,H
229,Aruba,1,0,12,0,0.0018,Caribbean,Tropical,0,H
230,Aruba,1,0,13,0,0.0018,Caribbean,Tropical,0,H
325,"Bahamas, The",1,100,1,345.24,88.0929,Caribbean,Tropical,20510.918,H
326,"Bahamas, The",1,99.62511715,2,452.52,88.0929,Caribbean,Tropical,20510.918,H
327,"Bahamas, The",2,0.374882849,2,67.68,88.0929,Caribbean,Tropical,20510.918,H
328,"Bahamas, The",1,99.78902954,3,204.39,88.0929,Caribbean,Tropical,20510.918,H
329,"Bahamas, The",2,0.210970464,3,13.59,88.0929,Caribbean,Tropical,20510.918,H
330,"Bahamas, The",1,99.90069513,4,415.17,88.0929,Caribbean,Tropical,20510.918,H
331,"Bahamas, The",2,0.099304866,4,13.5,88.0929,Caribbean,Tropical,20510.918,H
332,"Bahamas, The",1,98.86877828,5,685.89,88.0929,Caribbean,Tropical,20510.918,H
333,"Bahamas, The",2,1.055806938,5,408.51,88.0929,Caribbean,Tropical,20510.918,H
334,"Bahamas, The",3,0.075414781,5,195.75,88.0929,Caribbean,Tropical,20510.918,H
335,"Bahamas, The",1,99.45567652,6,570.42,88.0929,Caribbean,Tropical,20510.918,H
336,"Bahamas, The",2,0.544323484,6,135.63,88.0929,Caribbean,Tropical,20510.918,H
337,"Bahamas, The",1,99.69909729,7,393.57,88.0929,Caribbean,Tropical,20510.918,H
338,"Bahamas, The",2,0.300902708,7,71.73,88.0929,Caribbean,Tropical,20510.918,H
339,"Bahamas, The",1,99.29161747,8,792.81,88.0929,Caribbean,Tropical,20510.918,H
340,"Bahamas, The",2,0.590318772,8,279.45,88.0929,Caribbean,Tropical,20510.918,H
341,"Bahamas, The",3,0.118063754,8,631.53,88.0929,Caribbean,Tropical,20510.918,H
342,"Bahamas, The",1,99.65457686,9,519.12,88.0929,Caribbean,Tropical,20510.918,H
343,"Bahamas, The",2,0.345423143,9,125.82,88.0929,Caribbean,Tropical,20510.918,H
344,"Bahamas, The",1,99.84423676,10,280.53,88.0929,Caribbean,Tropical,20510.918,H
345,"Bahamas, The",2,0.15576324,10,20.25,88.0929,Caribbean,Tropical,20510.918,H
346,"Bahamas, The",1,99.41804074,11,434.97,88.0929,Caribbean,Tropical,20510.918,H
347,"Bahamas, The",2,0.581959263,11,143.46,88.0929,Caribbean,Tropical,20510.918,H
348,"Bahamas, The",1,99.41944848,12,250.47,88.0929,Caribbean,Tropical,20510.918,H
349,"Bahamas, The",2,0.580551524,12,56.07,88.0929,Caribbean,Tropical,20510.918,H
350,"Bahamas, The",1,98.71794872,13,455.94,88.0929,Caribbean,Tropical,20510.918,H
351,"Bahamas, The",2,0.94017094,13,319.95,88.0929,Caribbean,Tropical,20510.918,H
352,"Bahamas, The",3,0.341880342,13,525.33,88.0929,Caribbean,Tropical,20510.918,H
353,Bangladesh,1,99.96129389,1,4369.32,540.7632,SSE Asia,Tropical,1272.6996,L
354,Bangladesh,2,0.03870611,1,96.66,540.7632,SSE Asia,Tropical,1272.6996,L
355,Bangladesh,1,99.93750781,2,3538.53,540.7632,SSE Asia,Tropical,1272.6996,L
356,Bangladesh,2,0.062492188,2,237.78,540.7632,SSE Asia,Tropical,1272.6996,L
357,Bangladesh,1,99.92590763,3,1921.5,540.7632,SSE Asia,Tropical,1272.6996,L
358,Bangladesh,2,0.074092368,3,141.12,540.7632,SSE Asia,Tropical,1272.6996,L
359,Bangladesh,1,99.90008742,4,3786.48,540.7632,SSE Asia,Tropical,1272.6996,L
360,Bangladesh,2,0.099912576,4,288,540.7632,SSE Asia,Tropical,1272.6996,L
361,Bangladesh,1,99.90797289,5,2867.4,540.7632,SSE Asia,Tropical,1272.6996,L
362,Bangladesh,2,0.092027106,5,270,540.7632,SSE Asia,Tropical,1272.6996,L
363,Bangladesh,1,99.93860511,6,6081.57,540.7632,SSE Asia,Tropical,1272.6996,L
364,Bangladesh,2,0.061394892,6,415.17,540.7632,SSE Asia,Tropical,1272.6996,L
365,Bangladesh,1,99.91203636,7,3563.73,540.7632,SSE Asia,Tropical,1272.6996,L
366,Bangladesh,2,0.087963642,7,240.03,540.7632,SSE Asia,Tropical,1272.6996,L
367,Bangladesh,1,99.83338382,8,3724.2,540.7632,SSE Asia,Tropical,1272.6996,L
368,Bangladesh,2,0.166616177,8,520.11,540.7632,SSE Asia,Tropical,1272.6996,L
369,Bangladesh,1,99.85265515,9,4805.91,540.7632,SSE Asia,Tropical,1272.6996,L
370,Bangladesh,2,0.141451052,9,469.62,540.7632,SSE Asia,Tropical,1272.6996,L
371,Bangladesh,3,0.005893794,9,100.26,540.7632,SSE Asia,Tropical,1272.6996,L
372,Bangladesh,1,99.85665885,10,4076.46,540.7632,SSE Asia,Tropical,1272.6996,L
373,Bangladesh,2,0.143341152,10,357.12,540.7632,SSE Asia,Tropical,1272.6996,L
374,Bangladesh,1,99.86992119,11,3521.07,540.7632,SSE Asia,Tropical,1272.6996,L
375,Bangladesh,2,0.130078812,11,371.97,540.7632,SSE Asia,Tropical,1272.6996,L
376,Bangladesh,1,99.94204019,12,3946.23,540.7632,SSE Asia,Tropical,1272.6996,L
377,Bangladesh,2,0.057959815,12,160.11,540.7632,SSE Asia,Tropical,1272.6996,L
378,Bangladesh,1,99.97982108,13,4162.32,540.7632,SSE Asia,Tropical,1272.6996,L
379,Bangladesh,2,0.02017892,13,43.65,540.7632,SSE Asia,Tropical,1272.6996,L
380,Barbados,1,100,1,9.45,2.3454,Caribbean,Tropical,11662.801,H
381,Barbados,1,100,2,8.73,2.3454,Caribbean,Tropical,11662.801,H
382,Barbados,1,100,3,2.07,2.3454,Caribbean,Tropical,11662.801,H
383,Barbados,1,100,4,7.29,2.3454,Caribbean,Tropical,11662.801,H
