"","df","AICc","delta","weight"
"deg.lm1",3,181.974350852195,0,0.669702273721129
"deg.lm3",4,184.435278280103,2.46092742790796,0.195658253362874
"deg.lm4",6,186.693544242727,4.71919339053204,0.0632589456480754
"deg.lm9",5,186.77670298417,4.80235213197449,0.0606826108481482
"deg.lm5",3,190.251587821636,8.27723696944113,0.0106783119222354
"deg.lm8",3,202.941610175467,20.9672593232712,0.0000187455963479716
"deg.lm2",3,210.851969015847,28.8776181636516,0.000000359076235889682
"deg.lm6",12,211.137660428132,29.163309575937,0.000000311278813204792
"deg.lm7",3,213.237452147045,31.2631012948497,0.000000108939551672294
"deg.lm0",2,213.865121265253,31.8907704130572,0.0000000795955826910714
"deg.lm10",15,233.023914508861,51.0495636566654,0.00000000000550313128432668
"deg.lm11",15,233.023914508861,51.0495636566654,0.00000000000550313128432668
