"","Estimate","Adjusted SE","z value","Pr(>|z|)"
"(Intercept)",2543.73741142812,99.066678428953,25.6770233116517,0
"SouthAm_Ch.prop",684.639001321064,107.563071547043,6.36500047343514,0
"Br_Ch.prop",430.054737840958,173.948730626519,2.47230742237676,0.0134244
"Ar_Ch.prop",319.68538014414,135.701045085415,2.35580632369425,0.0184826
"SA_Ch.prop",222.257702724954,123.596176088409,1.79825711246901,0.0721363
"Ur_Ch.prop",-47.4841301634956,116.380751450021,0.408006732830621,0.6832687
"Pa_Ch.prop",161.030383733233,106.985004364431,1.50516780075741,0.1322809
"all.but.us.br.ar_ch.prop",-627.539825164009,115.339435300628,5.44080889184476,0.0000001
"Ca_Ch.prop",-70.0989383226468,203.932728394997,0.343735597882418,0.7310451
"Ru_Ch.prop",-111.570068623844,133.030840908128,0.838678218240345,0.4016499
"Au_Ch.prop",-68.333805658729,163.049354784519,0.419098902593248,0.6751439
"In_Ch.prop",-45.6540943631,112.305394034626,0.406517378399685,0.6843625
"Et_Ch.prop",20.1983903904916,124.650931110614,0.162039627065181,0.8712746
"TopTen_Ch.prop",345.759642099555,176.47675958266,1.95923612217962,0.0500851
