"","Estimate","Adjusted SE","z value","Pr(>|z|)"
"(Intercept)",73.266295332014,1.17209800497261,62.5086767669448,0
"Br_Ch.prop",8.7376458984579,1.32751481793542,6.58195733893716,0
"Ar_Ch.prop",-0.341359948482181,1.5706437557679,0.217337602641337,0.8279453
"Ur_Ch.prop",2.1262575943165,1.3207788173312,1.60985137436779,0.1074303
"Pa_Ch.prop",1.35623466894473,1.21518646974498,1.11607123903325,0.2643916
"SA_Ch.prop",1.06481090917898,1.49733968830492,0.711135166920215,0.4770005
"Ar_Ch.prop:Br_Ch.prop",0.794291515526565,2.21191807431498,0.359096263442106,0.7195231
"SouthAm_Ch.prop",8.07244222832477,1.33665358096635,6.03929271074761,0
"all.but.us.br.ar_ch.prop",-6.39920064220827,1.67659150576556,3.81679175887646,0.0001352
"Ca_Ch.prop",1.21563674702205,2.75333145348395,0.441514858475842,0.6588403
"Ru_Ch.prop",-2.02902679809868,1.79649645205334,1.12943546077119,0.2587142
"Au_Ch.prop",0.382538216387507,2.20223763512661,0.173704331578873,0.8620978
"In_Ch.prop",-0.574358888641669,1.51708962756214,0.378592588207611,0.7049904
"Et_Ch.prop",-0.817198322355987,1.68392726893602,0.485293122470977,0.6274684
"TopTen_Ch.prop",3.37912953743068,2.01504005586028,1.67695402759029,0.0935515
