"","country","receiver_coef","receiver_pval","receiver_adjr2","receiver_nobs","mean_prop"
"208","United_States",-0.00041217,0.0015,0.3004,28,0.032
"140","Netherlands",-0.00067004,0,0.6714,28,0.03
"70","France",-0.00048612,0,0.6007,28,0.027
"76","Germany",0.00066905,0.0142,0.1794,24,0.025
"184","Spain",-0.00037479,0.0002,0.386,28,0.024
"100","Japan",-0.00050073,0.0001,0.4299,28,0.021
"190","Switzerland",-0.00070935,0,0.7531,28,0.021
"12","Austria",-0.00016871,0.0421,0.1167,28,0.019
"119","Malaysia",-0.00021491,0.0004,0.3624,28,0.018
"159","Portugal",-0.00027989,0.0002,0.4033,28,0.017
"54","Denmark",-0.00028638,0.0007,0.3366,28,0.016
"115","Luxembourg",-0.00132868,0,0.793,28,0.016
"148","Norway",-0.00052154,0,0.492,28,0.016
"69","Finland",-0.00022547,0.0064,0.2239,28,0.014
"178","Singapore",-0.00019612,0.0072,0.2172,28,0.014
"93","Indonesia",-0.00026873,0.0032,0.2619,28,0.013
"163","Romania",0.00028419,0.0003,0.3737,28,0.012
"173","Saudi_Arabia",-0.00036172,0.0086,0.2075,28,0.012
"19","Belgium",0.00102945,0,0.6564,14,0.01
"51","Czech_Republic",0.00045659,0.0007,0.3412,21,0.01
"183","South_Africa",0.00024032,0.036,0.1259,27,0.01
"206","United_Arab_Emirates",0.00019858,0.0447,0.1133,28,0.01
"143","New_Zealand",-0.00019566,0.0005,0.3516,28,0.009
"179","Slovakia",0.00053143,0,0.616,21,0.009
"200","Turkey",0.00029795,0,0.4674,28,0.009
"8","Argentina",-0.00015065,0.0044,0.2442,28,0.008
"27","Brazil",-0.00027216,0,0.6298,28,0.007
"48","Croatia",0.00027486,0.0032,0.2616,22,0.007
"97","Israel",0.00017189,0.0215,0.1559,27,0.007
"126","Mauritius",-0.0001374,0.0098,0.2007,28,0.007
"128","Mexico",-0.00031223,0,0.6318,28,0.007
"153","Panama",-0.00027151,0,0.4858,28,0.007
"180","Slovenia",0.00028177,0.0029,0.2659,22,0.007
"84","Guatemala",-0.00015163,0.0046,0.242,28,0.006
"113","Libya",-0.00053708,0,0.7156,24,0.006
"205","Ukraine",0.00031806,0,0.5433,22,0.006
"210","Uruguay",-0.00016837,0.0048,0.2391,28,0.006
"214","Viet_Nam",0.00049765,0,0.7825,23,0.006
"91","Iceland",-0.00024848,0,0.543,28,0.005
"114","Lithuania",0.00045635,0,0.808,20,0.005
"156","Peru",0.00007882,0.0375,0.1235,28,0.005
"25","Bosnia_and_Herzegovina",0.00025105,0,0.4912,21,0.004
"49","Cuba",-0.00011032,0.0067,0.2217,28,0.004
"63","Estonia",0.00036443,0,0.7694,20,0.004
"103","Kenya",0.00013089,0.033,0.1311,22,0.004
"155","Paraguay",-0.00012802,0.0139,0.1806,27,0.004
"198","Trinidad_and_Tobago",-0.00013292,0.0022,0.2804,28,0.004
"16","Bangladesh",0.0002013,0,0.4585,20,0.003
"94","Iran._Islamic_Republic_of",0.00024694,0,0.57,18,0.003
"99","Jamaica",-0.00004167,0.0416,0.1175,28,0.003
"101","Jordan",0.00019121,0.0003,0.3783,19,0.003
"109","Latvia",0.00020619,0,0.5567,20,0.003
