"","country","sender_coef","sender_pval","sender_adjr2","sender_nobs","mean_prop"
"127","United_States",0.73617953,0,0.7898,28,0.11
"15","Brazil",0.03612479,0.0222,0.1541,28,0.062
"23","China",0.30487137,0,0.7268,28,0.062
"82","Netherlands",0.03667214,0.0064,0.2242,28,0.046
"39","France",0.06896552,0.0176,0.1673,28,0.04
"90","Paraguay",0.01313629,0.0294,0.1378,27,0.027
"5","Austria",0.25123153,0.0013,0.3058,28,0.025
"49","India",0.45703339,0,0.6003,25,0.025
"118","Thailand",0.30788177,0.0002,0.4013,28,0.025
"8","Belgium",0.05665025,0.0108,0.1948,14,0.014
"72","Malaysia",0.18910783,0.0007,0.3383,27,0.012
"12","Bolivia",0.01258894,0.0376,0.1234,26,0.011
"31","Denmark",0.42090859,0,0.8107,28,0.011
"67","Luxembourg",0.15298303,0,0.5158,24,0.011
"57","Japan",0.01778872,0.0127,0.1857,28,0.01
"124","Ukraine",0.18965517,0.0005,0.3509,12,0.01
"50","Indonesia",2.18171866,0,0.8366,26,0.008
"61","Korea",0.16392994,0.0154,0.1749,27,0.008
"108","Spain",0.74767378,0,0.7654,27,0.008
"22","Chile",1.59934319,0,0.8897,27,0.007
"128","Uruguay",0.30979748,0.0107,0.1958,18,0.007
"45","Guatemala",0.09031199,0.0026,0.2728,19,0.006
"28","Croatia",0.05035577,0.0495,0.1073,21,0.005
"60","Kenya",0.1332786,0,0.4968,20,0.005
"NA",NA,NA,NA,NA,NA,NA
"94","Portugal",0.42172961,0,0.6355,27,0.005
"104","Slovakia",0.42090859,0,0.6201,18,0.005
"NA.1",NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA
"85","Nicaragua",0.14997263,0,0.5157,20,0.004
"97","Russian_Federation",0.60454297,0,0.7371,16,0.004
"109","Sri_Lanka",0.34920635,0,0.7665,21,0.004
"123","Uganda",0.1573618,0.0048,0.2401,20,0.004
"132","Zambia",-0.03612479,0.0043,0.2457,18,0.004
"24","Colombia",1.73617953,0,0.8464,22,0.003
"32","Ecuador",0.2014231,0.0005,0.3528,20,0.003
"33","Egypt",0.13875205,0,0.5263,15,0.003
"44","Greece",0.16392994,0.0002,0.3964,21,0.003
"NA.3",NA,NA,NA,NA,NA,NA
"93","Poland",0.05747126,0.0032,0.262,11,0.003
"105","Slovenia",0.39573071,0,0.8094,18,0.003
"25","Costa_Rica",0.15763547,0,0.5986,20,0.002
"36","Ethiopia",0.14641489,0,0.6287,12,0.002
"47","Honduras",0.0331144,0.0005,0.3578,19,0.002
"91","Peru",0.58483853,0.0005,0.3548,17,0.002
"6","Barbados",1.27531472,0,0.9641,5,0.001
"14","Botswana",0.06157635,0.0001,0.4516,13,0.001
"19","Cambodia",0.02353585,0.0412,0.1181,6,0.001
"NA.4",NA,NA,NA,NA,NA,NA
"34","El_Salvador",0.17022441,0.0086,0.2076,10,0.001
"43","Ghana",1.25342091,0,0.6912,10,0.001
"59","Kazakhstan",0.02435687,0.0151,0.1759,13,0.001
"65","Lebanon",0.06595512,0.0018,0.2921,11,0.001
"66","Lithuania",0.06376574,0,0.4771,15,0.001
"NA.5",NA,NA,NA,NA,NA,NA
"92","Philippines",0.17898194,0,0.6101,12,0.001
"119","Togo",0.97564313,0,0.7118,8,0.001
"120","Trinidad_and_Tobago",0.08182813,0.0001,0.4327,8,0.001
"125","United_Arab_Emirates",1.22577997,0,0.7419,5,0.001
"NA.6",NA,NA,NA,NA,NA,NA
"3","Aruba",0.87958402,0.0001,0.4289,5,0
"10","Benin",0.01423098,0.0173,0.1684,5,0
"13","Bosnia_and_Herzegovina",0.1592775,0.0264,0.144,8,0
"18","Burkina_Faso",0.0922277,0.0001,0.4194,5,0
"20","Cameroon",0.07060755,0.0012,0.3119,7,0
"58","Jordan",0.14285714,0.001,0.321,7,0
"70","Madagascar",0.05555556,0.0004,0.3605,4,0
"79","Morocco",0.35632184,0,0.5563,6,0
"86","Niger",0.14477285,0.0078,0.213,4,0
"95","Qatar",0.23809524,0,0.7616,8,0
"NA.7",NA,NA,NA,NA,NA,NA
"27","Cote_d'Ivoire",0.08702791,0.0016,0.2968,8,NA
"51","Iran,_Islamic_Republic_of",0.28516694,0.0001,0.4507,10,NA
"77","Moldova,_Republic_of",0.09277504,0.0486,0.1083,17,NA
"116","Tanzania,_United_Republic_of",0.01450465,0.0468,0.1106,17,NA
"130","Venezuela_(Bolivarian_Republic_of)",0.53037767,0,0.5272,14,NA
