"","country","sender_coef","sender_pval","sender_adjr2","sender_nobs","mean_prop"
"121","United_States",-0.00566834,0,0.8161,28,0.11
"21","Canada",-0.00076531,0.0006,0.3435,28,0.068
"15","Brazil",-0.00139913,0,0.5725,28,0.062
"2","Argentina",-0.00096396,0.015,0.1766,27,0.05
"78","Netherlands",-0.00163632,0,0.8288,28,0.046
"120","United_Kingdom",-0.00050377,0.006,0.2271,28,0.035
"86","Paraguay",-0.00069527,0.0276,0.1413,27,0.027
"99","Singapore",-0.00075864,0,0.4912,28,0.027
"5","Austria",0.00087994,0,0.7345,28,0.025
"48","India",0.00212742,0,0.7557,25,0.025
"112","Thailand",0.00045842,0.0247,0.1478,28,0.025
"8","Belgium",0.001497,0,0.706,14,0.014
"103","South_Africa",0.00073682,0.0001,0.4459,21,0.013
"69","Malaysia",-0.0002947,0.0038,0.2528,27,0.012
"30","Denmark",-0.00025639,0.0052,0.2356,28,0.011
"65","Luxembourg",-0.00080281,0.0001,0.4536,24,0.011
"55","Japan",-0.00028951,0.0038,0.2525,28,0.01
"118","Ukraine",0.00131323,0,0.7723,12,0.01
"104","Spain",0.00016694,0.0101,0.1987,27,0.008
"22","Chile",0.00012877,0.0275,0.1417,27,0.007
"29","Czech_Republic",0.00038293,0.0001,0.4336,21,0.007
"92","Romania",0.00063296,0,0.5649,18,0.007
"97","Serbia",0.00080481,0,0.7031,14,0.007
"108","Sweden",-0.00035679,0,0.488,28,0.007
"122","Uruguay",0.00034523,0.0229,0.1521,18,0.007
"27","Croatia",0.00036594,0,0.6096,21,0.005
"74","Moldova._Republic_of",0.00039486,0,0.4669,17,0.005
"90","Portugal",0.00013381,0.0033,0.2602,27,0.005
"100","Slovakia",0.0004137,0,0.6103,18,0.005
"111","Tanzania._United_Republic_of",0.0003386,0.0047,0.2405,17,0.005
"126","Zimbabwe",-0.00037295,0.0106,0.1958,17,0.005
"93","Russian_Federation",0.00033789,0,0.6191,16,0.004
"125","Zambia",0.00024205,0.0112,0.1929,18,0.004
"24","Colombia",0.00010805,0.0221,0.1544,22,0.003
"31","Ecuador",0.00013911,0.0037,0.2531,20,0.003
"51","Ireland",-0.00013505,0.0031,0.2621,27,0.003
"89","Poland",0.00043306,0,0.573,11,0.003
"101","Slovenia",0.00025299,0,0.6144,18,0.003
"35","Ethiopia",0.00025987,0,0.49,12,0.002
"68","Malawi",0.00017765,0.0196,0.1613,12,0.002
"80","New_Zealand",0.00011361,0.0047,0.2409,20,0.002
"83","Norway",-0.00025953,0,0.5096,15,0.002
"87","Peru",0.0001841,0.0001,0.4522,17,0.002
"17","Bulgaria",0.00010224,0.0006,0.3447,11,0.001
"19","Cambodia",0.00007331,0.0047,0.2404,6,0.001
"34","Estonia",0.0001543,0,0.6101,12,0.001
"42","Ghana",0.00017596,0.0004,0.3692,10,0.001
"57","Kazakhstan",0.00014136,0,0.4942,13,0.001
"62","Latvia",0.0000681,0.0042,0.2465,7,0.001
"63","Lebanon",0.00006772,0.0005,0.3531,11,0.001
"64","Lithuania",0.00015896,0,0.5514,15,0.001
"66","Macedonia._the_former_Yugoslav_Republic_of",0.00006537,0.0021,0.2832,13,0.001
"113","Togo",0.00008543,0.0001,0.4389,8,0.001
"124","Yugoslavia",-0.00012717,0.0039,0.2506,4,0.001
"13","Bosnia_and_Herzegovina",0.0000646,0,0.4608,8,0
"45","Guyana",0.00003624,0.0011,0.3139,7,0
"56","Jordan",0.00002759,0.0445,0.1136,7,0
"77","Nepal",0.00003757,0.0279,0.1407,6,0
