"","name","group_assignment"
"1","Argentina","1"
"2","Australia","1"
"3","Austria","1"
"4","Belarus","1"
"5","Belgium","1"
"6","Belize","1"
"7","Benin","1"
"8","Bolivia","1"
"9","Bosnia and Herzegovina","1"
"10","Brazil","1"
"11","Bulgaria","1"
"12","Burkina Faso","1"
"13","Cambodia","1"
"14","Canada","1"
"15","Chile","1"
"16","China","1"
"17","Colombia","1"
"18","Costa Rica","1"
"19","Cote d'Ivoire","1"
"20","Croatia","1"
"21","Czech Republic","1"
"22","Denmark","1"
"23","Ecuador","1"
"24","Egypt","1"
"25","Estonia","1"
"26","Ethiopia","1"
"27","France","1"
"28","Georgia","1"
"29","Germany","1"
"30","Ghana","1"
"31","Greece","1"
"32","Guatemala","1"
"33","Hungary","1"
"34","India","1"
"35","Indonesia","1"
"36","Ireland","1"
"37","Israel","1"
"38","Italy","1"
"39","Japan","1"
"40","Kazakhstan","1"
"41","Kenya","1"
"42","Korea","1"
"43","Kuwait","1"
"44","Latvia","1"
"45","Lebanon","1"
"46","Lithuania","1"
"47","Malawi","1"
"48","Malaysia","1"
"49","Mexico","1"
"50","Moldova, Republic of","1"
"51","Nepal","1"
"52","Netherlands","1"
"53","New Zealand","1"
"54","Nicaragua","1"
"55","Paraguay","1"
"56","Peru","1"
"57","Philippines","1"
"58","Poland","1"
"59","Portugal","1"
"60","Romania","1"
"61","Russian Federation","1"
"62","Serbia","1"
"63","Singapore","1"
"64","Slovakia","1"
"65","Slovenia","1"
"66","South Africa","1"
"67","Spain","1"
"68","Sri Lanka","1"
"69","Sweden","1"
"70","Switzerland","1"
"71","Tanzania, United Republic of","1"
"72","Thailand","1"
"73","Togo","1"
"74","Turkey","1"
"75","Uganda","1"
"76","Ukraine","1"
"77","United Kingdom","1"
"78","United States","1"
"79","Uruguay","1"
"80","Zambia","1"
"81","Zimbabwe","1"
"82","Bangladesh","1"
"83","Cuba","1"
"84","Iran, Islamic Republic of","1"
"85","Syrian Arab Republic","1"
"86","Tunisia","1"
"87","United Arab Emirates","1"
"88","Venezuela (Bolivarian Republic of)","1"
"89","Viet Nam","1"
"90","Fiji","1"
"91","Papua New Guinea","1"
"92","Finland","1"
"93","Jordan","1"
"94","Luxembourg","1"
"95","Malta","1"
"96","Norway","1"
"97","Gabon","1"
"98","Jamaica","1"
"99","Algeria","1"
"100","Angola","1"
"101","Cameroon","1"
"102","Congo, the Democratic Republic of the","1"
"103","Equatorial Guinea","1"
"104","Guyana","1"
"105","Mozambique","1"
"106","Nigeria","1"
"107","Saudi Arabia","1"
"108","Turks and Caicos Islands","1"
"109","Mali","1"
"110","Brunei Darussalam","1"
"111","Mauritius","1"
"112","Morocco","1"
"113","Panama","1"
"114","Suriname","1"
"115","Trinidad and Tobago","1"
"116","Chad","1"
"117","Cyprus","1"
"118","Democratic People's Republic of Korea","1"
"119","Guam","1"
"120","Liberia","1"
"121","Namibia","1"
"122","Pakistan","1"
"123","Qatar","1"
"124","Swaziland","1"
"125","Timor-Leste","1"
"126","Tonga","1"
"127","Unspecified","1"
"128","Greenland","1"
"129","Armenia","1"
"130","Libya","1"
"131","Niger","1"
"132","Senegal","1"
"133","Uzbekistan","1"
"134","Bahrain","1"
"135","El Salvador","1"
"136","Iraq","1"
"137","Oman","1"
"138","Seychelles","1"
"139","Yemen","1"
"140","Kyrgyzstan","1"
"141","Tajikistan","1"
"142","Botswana","1"
"143","New Caledonia","1"
"144","Samoa","1"
"145","Solomon Islands","1"
"146","Cabo Verde","1"
"147","Sao Tome and Principe","1"
"148","Macedonia, the former Yugoslav Republic of","1"
"149","Montenegro","1"
"150","Maldives","1"
"151","Congo","1"
"152","Lesotho","1"
"153","Myanmar","1"
"154","Iceland","1"
"155","Burundi","1"
"156","Rwanda","1"
"157","Lao People's Democratic Republic","1"
"158","Azerbaijan","1"
"159","Turkmenistan","1"
"160","Bahamas","1"
"161","Barbados","1"
"162","Honduras","1"
"163","Saint Lucia","1"
