"","name","group_assignment"
"1","Argentina","1"
"2","Australia","2"
"3","Austria","2"
"4","Belarus","2"
"5","Belgium","2"
"6","Belize","1"
"7","Benin","5"
"8","Bolivia","6"
"9","Bosnia and Herzegovina","2"
"10","Brazil","1"
"11","Bulgaria","2"
"12","Burkina Faso","5"
"13","Cambodia","1"
"14","Canada","2"
"15","Chile","1"
"16","China","1"
"17","Colombia","6"
"18","Costa Rica","2"
"19","Cote d'Ivoire","2"
"20","Croatia","2"
"21","Czech Republic","2"
"22","Denmark","2"
"23","Ecuador","6"
"24","Egypt","2"
"25","Estonia","2"
"26","Ethiopia","2"
"27","France","2"
"28","Georgia","2"
"29","Germany","2"
"30","Ghana","2"
"31","Greece","2"
"32","Guatemala","1"
"33","Hungary","2"
"34","India","2"
"35","Indonesia","1"
"36","Ireland","2"
"37","Israel","2"
"38","Italy","2"
"39","Japan","2"
"40","Kazakhstan","2"
"41","Kenya","3"
"42","Korea","1"
"43","Kuwait","2"
"44","Latvia","2"
"45","Lebanon","2"
"46","Lithuania","2"
"47","Malawi","3"
"48","Malaysia","2"
"49","Mexico","1"
"50","Moldova, Republic of","2"
"51","Nepal","2"
"52","Netherlands","2"
"53","New Zealand","2"
"54","Nicaragua","4"
"55","Paraguay","2"
"56","Peru","6"
"57","Philippines","2"
"58","Poland","2"
"59","Portugal","2"
"60","Romania","2"
"61","Russian Federation","2"
"62","Serbia","2"
"63","Singapore","2"
"64","Slovakia","2"
"65","Slovenia","2"
"66","South Africa","2"
"67","Spain","2"
"68","Sri Lanka","2"
"69","Sweden","2"
"70","Switzerland","2"
"71","Tanzania, United Republic of","3"
"72","Thailand","1"
"73","Togo","5"
"74","Turkey","2"
"75","Uganda","3"
"76","Ukraine","2"
"77","United Kingdom","1"
"78","United States","1"
"79","Uruguay","7"
"80","Zambia","3"
"81","Zimbabwe","3"
"82","Bangladesh","2"
"83","Cuba","1"
"84","Iran, Islamic Republic of","1"
"85","Syrian Arab Republic","2"
"86","Tunisia","7"
"87","United Arab Emirates","2"
"88","Venezuela (Bolivarian Republic of)","1"
"89","Viet Nam","1"
"90","Fiji","2"
"91","Papua New Guinea","2"
"92","Finland","1"
"93","Jordan","2"
"94","Luxembourg","2"
"95","Malta","2"
"96","Norway","2"
"97","Gabon","2"
"98","Jamaica","1"
"99","Algeria","2"
"100","Angola","3"
"101","Cameroon","1"
"102","Congo, the Democratic Republic of the","3"
"103","Equatorial Guinea","1"
"104","Guyana","1"
"105","Mozambique","3"
"106","Nigeria","1"
"107","Saudi Arabia","1"
"108","Turks and Caicos Islands","1"
"109","Mali","2"
"110","Brunei Darussalam","2"
"111","Mauritius","2"
"112","Morocco","1"
"113","Panama","2"
"114","Suriname","2"
"115","Trinidad and Tobago","1"
"116","Chad","1"
"117","Cyprus","2"
"118","Democratic People's Republic of Korea","1"
"119","Guam","1"
"120","Liberia","2"
"121","Namibia","2"
"122","Pakistan","2"
"123","Qatar","2"
"124","Swaziland","2"
"125","Timor-Leste","1"
"126","Tonga","1"
"127","Unspecified","7"
"128","Greenland","2"
"129","Armenia","2"
"130","Libya","2"
"131","Niger","2"
"132","Senegal","2"
"133","Uzbekistan","2"
"134","Bahrain","2"
"135","El Salvador","4"
"136","Iraq","2"
"137","Oman","3"
"138","Seychelles","2"
"139","Yemen","2"
"140","Kyrgyzstan","2"
"141","Tajikistan","2"
"142","Botswana","3"
"143","New Caledonia","2"
"144","Samoa","2"
"145","Solomon Islands","2"
"146","Cabo Verde","2"
"147","Sao Tome and Principe","2"
"148","Macedonia, the former Yugoslav Republic of","2"
"149","Montenegro","2"
"150","Maldives","1"
"151","Congo","2"
"152","Lesotho","2"
"153","Myanmar","2"
"154","Iceland","2"
"155","Burundi","3"
"156","Rwanda","3"
"157","Lao People's Democratic Republic","1"
"158","Azerbaijan","2"
"159","Turkmenistan","2"
"160","Bahamas","1"
"161","Barbados","1"
"162","Honduras","1"
"163","Saint Lucia","1"
