"","name","group_assignment"
"1","Albania","1"
"2","Argentina","1"
"3","Aruba","1"
"4","Australia","1"
"5","Austria","1"
"6","Barbados","1"
"7","Belarus","1"
"8","Belgium","1"
"9","Belize","1"
"10","Benin","1"
"11","Bhutan","1"
"12","Bolivia","1"
"13","Bosnia and Herzegovina","1"
"14","Botswana","1"
"15","Brazil","1"
"16","Brunei Darussalam","1"
"17","Bulgaria","1"
"18","Burkina Faso","1"
"19","Cambodia","1"
"20","Cameroon","1"
"21","Canada","1"
"22","Chile","1"
"23","China","1"
"24","Colombia","1"
"25","Costa Rica","1"
"26","Cote d'Ivoire","1"
"27","Croatia","1"
"28","Cyprus","1"
"29","Czech Republic","1"
"30","Denmark","1"
"31","Ecuador","1"
"32","Egypt","1"
"33","El Salvador","1"
"34","Estonia","1"
"35","Ethiopia","1"
"36","Fiji","1"
"37","Finland","1"
"38","France","1"
"39","Gambia","1"
"40","Georgia","1"
"41","Germany","1"
"42","Ghana","1"
"43","Greece","1"
"44","Guatemala","1"
"45","Guyana","1"
"46","Honduras","1"
"47","Hungary","1"
"48","India","1"
"49","Indonesia","1"
"50","Iran, Islamic Republic of","1"
"51","Ireland","1"
"52","Israel","1"
"53","Italy","1"
"54","Jamaica","1"
"55","Japan","1"
"56","Jordan","1"
"57","Kazakhstan","1"
"58","Kenya","1"
"59","Korea","1"
"60","Kuwait","1"
"61","Kyrgyzstan","1"
"62","Latvia","1"
"63","Lebanon","1"
"64","Lithuania","1"
"65","Luxembourg","1"
"66","Macedonia, the former Yugoslav Republic of","1"
"67","Madagascar","1"
"68","Malawi","1"
"69","Malaysia","1"
"70","Mali","1"
"71","Malta","1"
"72","Mauritius","1"
"73","Mexico","1"
"74","Moldova, Republic of","1"
"75","Morocco","1"
"76","Namibia","1"
"77","Nepal","1"
"78","Netherlands","1"
"79","New Zealand","1"
"80","Nicaragua","1"
"81","Niger","1"
"82","Norway","1"
"83","Oman","1"
"84","Pakistan","1"
"85","Paraguay","1"
"86","Peru","1"
"87","Philippines","1"
"88","Poland","1"
"89","Portugal","1"
"90","Qatar","1"
"91","Romania","1"
"92","Russian Federation","1"
"93","Rwanda","1"
"94","Saudi Arabia","1"
"95","Serbia","1"
"96","Seychelles","1"
"97","Singapore","1"
"98","Slovakia","1"
"99","Slovenia","1"
"100","Solomon Islands","1"
"101","South Africa","1"
"102","Spain","1"
"103","Sri Lanka","1"
"104","Swaziland","1"
"105","Sweden","1"
"106","Switzerland","1"
"107","Syrian Arab Republic","1"
"108","Tanzania, United Republic of","1"
"109","Thailand","1"
"110","Togo","1"
"111","Trinidad and Tobago","1"
"112","Tunisia","1"
"113","Turkey","1"
"114","Uganda","1"
"115","Ukraine","1"
"116","United Arab Emirates","1"
"117","United Kingdom","1"
"118","United States","1"
"119","Uruguay","1"
"120","Venezuela (Bolivarian Republic of)","1"
"121","Yugoslavia","1"
"122","Zambia","1"
"123","Zimbabwe","1"
"124","Angola","1"
"125","Bangladesh","1"
"126","Cuba","1"
"127","Iceland","1"
"128","Liberia","1"
"129","Mozambique","1"
"130","Nigeria","1"
"131","Panama","1"
"132","Unspecified","1"
"133","Viet Nam","1"
"134","Armenia","1"
"135","Nauru","1"
"136","New Caledonia","1"
"137","Papua New Guinea","1"
"138","Sudan (former)","1"
"139","Czechoslovakia","1"
"140","Dominica","1"
"141","Montserrat","1"
"142","Saint Kitts and Nevis","1"
"143","Saint Lucia","1"
"144","Saint Vincent and the Grenadines","1"
"145","Congo, the Democratic Republic of the","1"
"146","Gabon","1"
"147","Sierra Leone","1"
"148","Senegal","1"
"149","Bahamas","1"
"150","Bermuda","1"
"151","Cayman Islands","1"
"152","Virgin Islands, British","1"
"153","Algeria","1"
"154","Cabo Verde","1"
"155","Congo","1"
"156","Democratic People's Republic of Korea","1"
"157","Dominican Republic","1"
"158","Equatorial Guinea","1"
"159","Ethiopia PDR","1"
"160","Gibraltar","1"
"161","Netherlands Antilles (former)","1"
"162","Turks and Caicos Islands","1"
"163","Uzbekistan","1"
"164","Azerbaijan","1"
"165","Falkland Islands (Malvinas)","1"
"166","French Polynesia","1"
"167","Guinea","1"
"168","Haiti","1"
"169","Maldives","1"
"170","Mauritania","1"
"171","Reunion","1"
"172","Saint Helena, Ascension and Tristan da Cunha","1"
"173","Saint Pierre and Miquelon","1"
"174","Suriname","1"
"175","Yemen","1"
"176","Afghanistan","1"
"177","Central African Republic","1"
"178","Chad","1"
"179","Guam","1"
"180","Iraq","1"
"181","Libya","1"
"182","Marshall Islands","1"
"183","Mongolia","1"
"184","Myanmar","1"
"185","Pacific Islands Trust Territory","1"
"186","Palau","1"
"187","Samoa","1"
"188","Timor-Leste","1"
"189","Tonga","1"
"190","Faroe Islands","1"
"191","Greenland","1"
"192","Bahrain","1"
"193","Djibouti","1"
"194","Kiribati","1"
"195","French Guiana","1"
"196","Guadeloupe","1"
"197","Martinique","1"
"198","Mayotte","1"
"199","Turkmenistan","1"
"200","Micronesia, Federated States of","1"
"201","Tajikistan","1"
"202","Lao People's Democratic Republic","1"
"203","Northern Mariana Islands","1"
"204","Somalia","1"
"205","Burundi","1"
"206","Eritrea","1"
"207","Puerto Rico","1"
"208","United States Virgin Islands","1"
"209","Guinea-Bissau","1"
"210","Sao Tome and Principe","1"
"211","Montenegro","1"
"212","Grenada","1"
"213","Lesotho","1"
"214","Andorra","1"
"215","Comoros","1"
"216","Antigua and Barbuda","1"
