"","name","group_assignment"
"1","Albania","2"
"2","Argentina","1"
"3","Aruba","1"
"4","Australia","1"
"5","Austria","2"
"6","Barbados","1"
"7","Belarus","2"
"8","Belgium","2"
"9","Belize","1"
"10","Benin","3"
"11","Bhutan","3"
"12","Bolivia","4"
"13","Bosnia and Herzegovina","2"
"14","Botswana","3"
"15","Brazil","2"
"16","Brunei Darussalam","3"
"17","Bulgaria","2"
"18","Burkina Faso","3"
"19","Cambodia","2"
"20","Cameroon","2"
"21","Canada","3"
"22","Chile","1"
"23","China","1"
"24","Colombia","4"
"25","Costa Rica","1"
"26","Cote d'Ivoire","2"
"27","Croatia","2"
"28","Cyprus","1"
"29","Czech Republic","2"
"30","Denmark","3"
"31","Ecuador","4"
"32","Egypt","1"
"33","El Salvador","1"
"34","Estonia","3"
"35","Ethiopia","2"
"36","Fiji","1"
"37","Finland","3"
"38","France","2"
"39","Gambia","2"
"40","Georgia","2"
"41","Germany","2"
"42","Ghana","2"
"43","Greece","2"
"44","Guatemala","1"
"45","Guyana","2"
"46","Honduras","1"
"47","Hungary","2"
"48","India","3"
"49","Indonesia","1"
"50","Iran, Islamic Republic of","2"
"51","Ireland","2"
"52","Israel","1"
"53","Italy","2"
"54","Jamaica","1"
"55","Japan","1"
"56","Jordan","3"
"57","Kazakhstan","2"
"58","Kenya","3"
"59","Korea","1"
"60","Kuwait","2"
"61","Kyrgyzstan","1"
"62","Latvia","2"
"63","Lebanon","1"
"64","Lithuania","2"
"65","Luxembourg","1"
"66","Macedonia, the former Yugoslav Republic of","2"
"67","Madagascar","1"
"68","Malawi","3"
"69","Malaysia","3"
"70","Mali","2"
"71","Malta","2"
"72","Mauritius","3"
"73","Mexico","1"
"74","Moldova, Republic of","2"
"75","Morocco","2"
"76","Namibia","1"
"77","Nepal","3"
"78","Netherlands","2"
"79","New Zealand","3"
"80","Nicaragua","1"
"81","Niger","3"
"82","Norway","2"
"83","Oman","1"
"84","Pakistan","1"
"85","Paraguay","2"
"86","Peru","4"
"87","Philippines","1"
"88","Poland","2"
"89","Portugal","2"
"90","Qatar","3"
"91","Romania","2"
"92","Russian Federation","2"
"93","Rwanda","3"
"94","Saudi Arabia","2"
"95","Serbia","2"
"96","Seychelles","3"
"97","Singapore","3"
"98","Slovakia","2"
"99","Slovenia","2"
"100","Solomon Islands","3"
"101","South Africa","3"
"102","Spain","2"
"103","Sri Lanka","3"
"104","Swaziland","3"
"105","Sweden","2"
"106","Switzerland","2"
"107","Syrian Arab Republic","1"
"108","Tanzania, United Republic of","3"
"109","Thailand","2"
"110","Togo","3"
"111","Trinidad and Tobago","1"
"112","Tunisia","4"
"113","Turkey","1"
"114","Uganda","3"
"115","Ukraine","2"
"116","United Arab Emirates","2"
"117","United Kingdom","2"
"118","United States","1"
"119","Uruguay","4"
"120","Venezuela (Bolivarian Republic of)","1"
"121","Yugoslavia","1"
"122","Zambia","3"
"123","Zimbabwe","3"
"124","Angola","3"
"125","Bangladesh","4"
"126","Cuba","1"
"127","Iceland","2"
"128","Liberia","2"
"129","Mozambique","3"
"130","Nigeria","1"
"131","Panama","2"
"132","Unspecified","4"
"133","Viet Nam","2"
"134","Armenia","1"
"135","Nauru","3"
"136","New Caledonia","1"
"137","Papua New Guinea","1"
"138","Sudan (former)","3"
"139","Czechoslovakia","1"
"140","Dominica","3"
"141","Montserrat","1"
"142","Saint Kitts and Nevis","2"
"143","Saint Lucia","3"
"144","Saint Vincent and the Grenadines","2"
"145","Congo, the Democratic Republic of the","3"
"146","Gabon","2"
"147","Sierra Leone","3"
"148","Senegal","2"
"149","Bahamas","2"
"150","Bermuda","2"
"151","Cayman Islands","2"
"152","Virgin Islands, British","2"
"153","Algeria","3"
"154","Cabo Verde","4"
"155","Congo","3"
"156","Democratic People's Republic of Korea","1"
"157","Dominican Republic","1"
"158","Equatorial Guinea","2"
"159","Ethiopia PDR","2"
"160","Gibraltar","2"
"161","Netherlands Antilles (former)","3"
"162","Turks and Caicos Islands","2"
"163","Uzbekistan","2"
"164","Azerbaijan","2"
"165","Falkland Islands (Malvinas)","3"
"166","French Polynesia","3"
"167","Guinea","3"
"168","Haiti","1"
"169","Maldives","2"
"170","Mauritania","3"
"171","Reunion","3"
"172","Saint Helena, Ascension and Tristan da Cunha","3"
"173","Saint Pierre and Miquelon","3"
"174","Suriname","3"
"175","Yemen","2"
"176","Afghanistan","1"
"177","Central African Republic","1"
"178","Chad","1"
"179","Guam","1"
"180","Iraq","3"
"181","Libya","1"
"182","Marshall Islands","1"
"183","Mongolia","1"
"184","Myanmar","3"
"185","Pacific Islands Trust Territory","1"
"186","Palau","1"
"187","Samoa","1"
"188","Timor-Leste","1"
"189","Tonga","1"
"190","Faroe Islands","3"
"191","Greenland","3"
"192","Bahrain","3"
"193","Djibouti","3"
"194","Kiribati","1"
"195","French Guiana","2"
"196","Guadeloupe","2"
"197","Martinique","2"
"198","Mayotte","1"
"199","Turkmenistan","2"
"200","Micronesia, Federated States of","1"
"201","Tajikistan","2"
"202","Lao People's Democratic Republic","2"
"203","Northern Mariana Islands","1"
"204","Somalia","3"
"205","Burundi","3"
"206","Eritrea","3"
"207","Puerto Rico","1"
"208","United States Virgin Islands","2"
"209","Guinea-Bissau","2"
"210","Sao Tome and Principe","2"
"211","Montenegro","2"
"212","Grenada","1"
"213","Lesotho","3"
"214","Andorra","2"
"215","Comoros","3"
"216","Antigua and Barbuda","3"
