"","name","group_assignment"
"Albania","Albania","6"
"Argentina","Argentina","1"
"Aruba","Aruba","2"
"Australia","Australia","2"
"Austria","Austria","6"
"Barbados","Barbados","2"
"Belarus","Belarus","6"
"Belgium","Belgium","4"
"Belize","Belize","2"
"Benin","Benin","3"
"Bhutan","Bhutan","3"
"Bolivia","Bolivia","4"
"Bosnia and Herzegovina","Bosnia and Herzegovina","6"
"Botswana","Botswana","3"
"Brazil","Brazil","1"
"Brunei Darussalam","Brunei Darussalam","2"
"Bulgaria","Bulgaria","6"
"Burkina Faso","Burkina Faso","3"
"Cambodia","Cambodia","1"
"Cameroon","Cameroon","2"
"Canada","Canada","2"
"Chile","Chile","1"
"China","China","1"
"Colombia","Colombia","2"
"Costa Rica","Costa Rica","2"
"Cote d'Ivoire","Cote d'Ivoire","3"
"Croatia","Croatia","6"
"Cyprus","Cyprus","6"
"Czech Republic","Czech Republic","4"
"Denmark","Denmark","2"
"Ecuador","Ecuador","4"
"Egypt","Egypt","2"
"El Salvador","El Salvador","2"
"Estonia","Estonia","2"
"Ethiopia","Ethiopia","2"
"Fiji","Fiji","2"
"Finland","Finland","2"
"France","France","2"
"Gambia","Gambia","6"
"Georgia","Georgia","1"
"Germany","Germany","4"
"Ghana","Ghana","1"
"Greece","Greece","6"
"Guatemala","Guatemala","2"
"Guyana","Guyana","2"
"Honduras","Honduras","2"
"Hungary","Hungary","6"
"India","India","2"
"Indonesia","Indonesia","2"
"Iran, Islamic Republic of","Iran, Islamic Republic of","1"
"Ireland","Ireland","4"
"Israel","Israel","2"
"Italy","Italy","6"
"Jamaica","Jamaica","2"
"Japan","Japan","2"
"Jordan","Jordan","5"
"Kazakhstan","Kazakhstan","6"
"Kenya","Kenya","3"
"Korea","Korea","2"
"Kuwait","Kuwait","2"
"Kyrgyzstan","Kyrgyzstan","2"
"Latvia","Latvia","1"
"Lebanon","Lebanon","2"
"Lithuania","Lithuania","1"
"Luxembourg","Luxembourg","2"
"Macedonia, the former Yugoslav Republic of","Macedonia, the former Yugoslav Republic of","6"
"Madagascar","Madagascar","2"
"Malawi","Malawi","3"
"Malaysia","Malaysia","2"
"Mali","Mali","3"
"Malta","Malta","6"
"Mauritius","Mauritius","2"
"Mexico","Mexico","2"
"Moldova, Republic of","Moldova, Republic of","6"
"Morocco","Morocco","2"
"Namibia","Namibia","2"
"Nepal","Nepal","2"
"Netherlands","Netherlands","4"
"New Zealand","New Zealand","2"
"Nicaragua","Nicaragua","2"
"Niger","Niger","2"
"Norway","Norway","1"
"Oman","Oman","1"
"Pakistan","Pakistan","2"
"Paraguay","Paraguay","4"
"Peru","Peru","4"
"Philippines","Philippines","2"
"Poland","Poland","6"
"Portugal","Portugal","1"
"Qatar","Qatar","2"
"Romania","Romania","6"
"Russian Federation","Russian Federation","4"
"Rwanda","Rwanda","3"
"Saudi Arabia","Saudi Arabia","1"
"Serbia","Serbia","6"
"Seychelles","Seychelles","2"
"Singapore","Singapore","2"
"Slovakia","Slovakia","6"
"Slovenia","Slovenia","6"
"Solomon Islands","Solomon Islands","2"
"South Africa","South Africa","3"
"Spain","Spain","1"
"Sri Lanka","Sri Lanka","2"
"Swaziland","Swaziland","3"
"Sweden","Sweden","6"
"Switzerland","Switzerland","4"
"Syrian Arab Republic","Syrian Arab Republic","2"
"Tanzania, United Republic of","Tanzania, United Republic of","3"
"Thailand","Thailand","1"
"Togo","Togo","3"
"Trinidad and Tobago","Trinidad and Tobago","2"
"Tunisia","Tunisia","2"
"Turkey","Turkey","2"
"Uganda","Uganda","3"
"Ukraine","Ukraine","6"
"United Arab Emirates","United Arab Emirates","4"
"United Kingdom","United Kingdom","1"
"United States","United States","2"
"Uruguay","Uruguay","4"
"Venezuela (Bolivarian Republic of)","Venezuela (Bolivarian Republic of)","2"
"Yugoslavia","Yugoslavia","2"
"Zambia","Zambia","3"
"Zimbabwe","Zimbabwe","3"
"Angola","Angola","3"
"Bangladesh","Bangladesh","1"
"Cuba","Cuba","2"
"Iceland","Iceland","4"
"Liberia","Liberia","1"
"Mozambique","Mozambique","3"
"Nigeria","Nigeria","2"
"Panama","Panama","4"
"Unspecified","Unspecified","4"
